model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,2.0,0.0,0.9703394246323176,0.903363335597635,0.061460276826545,1.4147730854841e-05,0.009889839196177,0.9999858522691452,0.990110160803823,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,2.0,0.0,0.9607292576297832,0.9002966582187415,0.0431397411961127,1.0977354161334496e-05,0.0127265269668223,0.9999890226458388,0.9872734730331776,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,-2.0,0.0,0.1885089669996515,0.4674905936675914,191.3557873282801,0.0010704027266263,0.5914358792192582,0.4129667268855733,0.5275152273233039,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,-2.0,0.0,0.1850696770882854,0.4655933978723445,189.4646537309277,0.0008982110911924,0.6471073832167981,0.4216054869455586,0.4655702638231069,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,0.0,0.0,0.3349856466586811,0.5389893406080251,139.2538796254724,0.0015155974844493,0.5172625927414036,0.578781480271329,0.6398155400966602,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,0.0,0.0,0.3287160969468338,0.5372912127910396,141.3003522626601,0.0008979292180935,0.5585624845707962,0.5595291413610551,0.5964953531713382,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,2.0,0.0,0.2670651687415082,0.5058889753176499,154.88239729155637,0.0017329791781967,0.5873120675337438,0.4823849958095678,0.5683705643766802,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,non_product,1.0,2.0,0.0,0.2007536424163792,0.4739986973386881,177.84508708486788,0.0017050338866209,0.6735991982320148,0.4416210928712552,0.4823893265142478,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,-2.0,0.0,0.6955777026126949,0.7103177415220073,32.44269544069874,0.0247217127463002,0.2217640369084073,0.9813674845251568,0.8964869912003414,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,-2.0,0.0,0.4464226938326434,0.591868818715334,88.64253035575928,0.0265711929021245,0.3754693131896169,0.9760156394704318,0.782890021206252,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,0.0,0.0,0.0776411486538697,0.3987352204008543,324.5354950417035,0.0166014034974869,0.6841006477931733,0.9973138631862816,0.4165147867234717,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,0.0,0.0,0.5581989530498213,0.6439204950068182,70.42993960701556,0.0284786944158679,0.2812943631013413,0.9949005931714344,0.8648629335175716,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,2.0,0.0,0.5683549185497988,0.6443206362144427,56.07173232413573,0.0345728257514354,0.2910220481662791,0.9934923168531667,0.8631479936010008,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,multi_mags,product,1.0,2.0,0.0,0.4705208653851395,0.6034596609031717,80.41143342397525,0.0301719571571389,0.364729505929361,0.9904858942551747,0.7977984190245619,,,
